path,species,stage,source,group_id,split,filename
Dataset 1 кейс/Сорняки/Пырей ползучий/Стеблевание/006495_85871f9c-5bad-49b0-a847-19fa740bb440.jpg,couch_grass,stem_elongation,reference_camera,couch_grass_stem_elongation_g001,train,006495_85871f9c-5bad-49b0-a847-19fa740bb440.jpg
Dataset 1 кейс/Сорняки/Пырей ползучий/Стеблевание/006496_3082f41b-480f-4f51-8299-4d65bf78c989.jpg,couch_grass,stem_elongation,reference_camera,couch_grass_stem_elongation_g001,train,006496_3082f41b-480f-4f51-8299-4d65bf78c989.jpg
Dataset 1 кейс/Сорняки/Пырей ползучий/Стеблевание/006497_37feaae7-6838-459c-a3cb-78c893e07821.jpg,couch_grass,stem_elongation,reference_camera,couch_grass_stem_elongation_g001,train,006497_37feaae7-6838-459c-a3cb-78c893e07821.jpg
Dataset 1 кейс/Сорняки/Пырей ползучий/Стеблевание/006498_a8065d88-0c55-4e17-9e32-9b402e5fbba2.jpg,couch_grass,stem_elongation,reference_camera,couch_grass_stem_elongation_g001,train,006498_a8065d88-0c55-4e17-9e32-9b402e5fbba2.jpg
Dataset 1 кейс/Сорняки/Пырей ползучий/Стеблевание/006499_63d48b47-9fdc-4b0b-a413-61e7a3a4d4f9.jpg,couch_grass,stem_elongation,reference_camera,couch_grass_stem_elongation_g001,train,006499_63d48b47-9fdc-4b0b-a413-61e7a3a4d4f9.jpg
Dataset 1 кейс/Сорняки/Пырей ползучий/Стеблевание/006500_90183837-fac2-49fb-bf08-06a68595551f.jpg,couch_grass,stem_elongation,reference_camera,couch_grass_stem_elongation_g001,train,006500_90183837-fac2-49fb-bf08-06a68595551f.jpg
Dataset 1 кейс/Сорняки/Пырей ползучий/Стеблевание/006501_ef898cfb-02f7-4b82-92a7-31daa8df6afb.jpg,couch_grass,stem_elongation,reference_camera,couch_grass_stem_elongation_g001,train,006501_ef898cfb-02f7-4b82-92a7-31daa8df6afb.jpg
Dataset 1 кейс/Сорняки/Пырей ползучий/Стеблевание/006502_cdc8d041-60da-4b34-a834-909ac436cca7.jpg,couch_grass,stem_elongation,reference_camera,couch_grass_stem_elongation_g001,train,006502_cdc8d041-60da-4b34-a834-909ac436cca7.jpg
Dataset 1 кейс/Сорняки/Пырей ползучий/Стеблевание/006503_acb77fbc-6871-4efd-ac49-c26f1fcaab64.jpg,couch_grass,stem_elongation,reference_camera,couch_grass_stem_elongation_g001,train,006503_acb77fbc-6871-4efd-ac49-c26f1fcaab64.jpg
Dataset 1 кейс/Сорняки/Пырей ползучий/Стеблевание/006504_166e8a14-927a-4a81-b771-a67fd8ecdb17.jpg,couch_grass,stem_elongation,reference_camera,couch_grass_stem_elongation_g001,train,006504_166e8a14-927a-4a81-b771-a67fd8ecdb17.jpg
Dataset 1 кейс/Сорняки/Пырей ползучий/Стеблевание/006505_68519d24-d83b-446b-8099-15b0abe98661.jpg,couch_grass,stem_elongation,reference_camera,couch_grass_stem_elongation_g001,train,006505_68519d24-d83b-446b-8099-15b0abe98661.jpg
Dataset 1 кейс/Сорняки/Пырей ползучий/Стеблевание/006506_dd952b61-4199-4d76-b387-64e2505d5eb1.jpg,couch_grass,stem_elongation,reference_camera,couch_grass_stem_elongation_g001,train,006506_dd952b61-4199-4d76-b387-64e2505d5eb1.jpg
Dataset 1 кейс/Сорняки/Пырей ползучий/Стеблевание/006507_c502c3da-c07c-4fb2-9430-14f0b1964176.jpg,couch_grass,stem_elongation,reference_camera,couch_grass_stem_elongation_g001,train,006507_c502c3da-c07c-4fb2-9430-14f0b1964176.jpg
Dataset 1 кейс/Сорняки/Пырей ползучий/Стеблевание/006508_6821cf77-e995-4ec4-aacc-1c4ddd0b2274.jpg,couch_grass,stem_elongation,reference_camera,couch_grass_stem_elongation_g001,train,006508_6821cf77-e995-4ec4-aacc-1c4ddd0b2274.jpg
Dataset 1 кейс/Сорняки/Пырей ползучий/Стеблевание/006509_bbf7b996-67b7-47c3-9d34-eef62ea0c20f.jpg,couch_grass,stem_elongation,reference_camera,couch_grass_stem_elongation_g001,train,006509_bbf7b996-67b7-47c3-9d34-eef62ea0c20f.jpg
