epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.3826,1.64897,2.02778,1.33504,0,0,0,0,0,0,0,0.000553505,0.000553505,0.000553505
2,55.1355,1.58665,1.36093,1.29516,0,0,0,0,0,0,0,0.00106525,0.00106525,0.00106525
3,81.6021,1.55641,1.29,1.2714,0,0,0,0,0,0,0,0.00153298,0.00153298,0.00153298
4,108.502,1.54255,1.22443,1.25376,0,0,0,0,0,0,0,0.00146896,0.00146896,0.00146896
5,135.438,1.52283,1.19722,1.25423,0,0,0,0,0,0,0,0.00140295,0.00140295,0.00140295
6,162.085,1.50736,1.17047,1.23706,0,0,0,0,0,0,0,0.00133693,0.00133693,0.00133693
7,188.073,1.48886,1.1483,1.23506,0,0,0,0,0,0,0,0.00127092,0.00127092,0.00127092
8,211.231,1.48074,1.11671,1.23879,0,0,0,0,0,0,0,0.00120491,0.00120491,0.00120491
9,234.841,1.45398,1.1058,1.22748,0,0,0,0,0,0,0,0.00113889,0.00113889,0.00113889
10,258.435,1.47076,1.0957,1.21519,0,0,0,0,0,0,0,0.00107288,0.00107288,0.00107288
11,282.272,1.45053,1.06008,1.20448,0,0,0,0,0,0,0,0.00100687,0.00100687,0.00100687
12,306.245,1.4315,1.03658,1.19208,0,0,0,0,0,0,0,0.000940855,0.000940855,0.000940855
13,329.244,1.43214,1.05479,1.20088,0,0,0,0,0,0,0,0.000874842,0.000874842,0.000874842
14,352.347,1.41944,1.01097,1.19638,0,0,0,0,0,0,0,0.000808828,0.000808828,0.000808828
15,375.501,1.40635,0.99594,1.17121,0,0,0,0,0,0,0,0.000742815,0.000742815,0.000742815
16,396.355,1.37262,0.94766,1.16942,0,0,0,0,0,0,0,0.000676802,0.000676802,0.000676802
17,417.668,1.35571,0.90491,1.16418,0,0,0,0,0,0,0,0.000610789,0.000610789,0.000610789
18,438.864,1.35618,0.90787,1.16653,0,0,0,0,0,0,0,0.000544776,0.000544776,0.000544776
19,461.181,1.33326,0.8912,1.14168,0,0,0,0,0,0,0,0.000478762,0.000478762,0.000478762
20,482.454,1.31497,0.84686,1.1284,0,0,0,0,0,0,0,0.000412749,0.000412749,0.000412749
21,503.584,1.29011,0.83337,1.12407,0,0,0,0,0,0,0,0.000346736,0.000346736,0.000346736
22,524.606,1.28971,0.83816,1.12775,0,0,0,0,0,0,0,0.000280723,0.000280723,0.000280723
23,549.5,1.27765,0.80621,1.1155,0,0,0,0,0,0,0,0.00021471,0.00021471,0.00021471
24,570.251,1.26459,0.79991,1.10017,0,0,0,0,0,0,0,0.000148696,0.000148696,0.000148696
25,594.687,1.2498,0.79876,1.10525,0.70625,0.76861,0.80389,0.49595,1.3011,1.22568,1.22577,8.26832e-05,8.26832e-05,8.26832e-05
